gen,t_spin_mean,t_spin_max,diversity,h_score_mean,h_score_max
1,0.0165724,0.120785,0.236013,,
2,0.0584941,0.325988,0.205438,,
3,0.126613,0.560525,0.168995,,
4,0.248772,1.14448,0.156652,,
5,0.466441,1.9989,0.12705,,
6,0.775934,2.0776,0.107316,,
7,0.972287,2.20496,0.103442,,
8,1.17932,2.55507,0.104069,,
9,1.40218,2.55507,0.0906062,,
10,1.68774,2.55507,0.0897025,,
11,1.6833,2.62173,0.0887738,,
12,1.70395,2.639,0.08709,,
13,1.85671,2.79873,0.0789661,,
14,1.97809,2.85805,0.0801879,,
15,2.12165,3.02416,0.080958,,
16,2.21011,3.06951,0.0755866,,
17,2.27906,3.18993,0.0773274,,
18,2.28352,3.21522,0.0814173,,
19,2.41465,3.28914,0.0779024,,
20,2.42812,3.34597,0.0765691,,
21,2.37069,3.42589,0.073812,,
22,2.44197,3.42589,0.0755427,,
23,2.53733,3.58727,0.0698968,,
24,2.4805,3.61349,0.0745459,,
25,2.73734,3.69417,0.0714547,,
26,2.55355,3.69971,0.0801208,,
27,2.77803,3.84901,0.064832,,
28,2.93809,3.84901,0.0711159,,
29,2.87977,3.90682,0.0701291,,
30,2.99012,4.02379,0.0709279,,
31,3.06411,4.07162,0.0720848,,
32,3.05774,4.17467,0.0742991,,
33,3.00406,4.17467,0.0730773,,
34,3.14475,4.17467,0.0705048,,
35,3.06228,4.24077,0.0722283,,
36,2.87764,4.25894,0.0678309,,
37,2.58935,4.29307,0.0715418,,
38,2.84621,4.3096,0.0704806,,
39,3.02117,4.44532,0.0698579,,
40,2.7865,4.44532,0.0695616,,
41,3.06658,4.51874,0.0703931,,
42,2.7463,4.54171,0.0731198,,
43,2.85773,12.387,0.0668172,,
44,2.85806,12.387,0.0677929,,
45,2.8879,12.387,0.0693553,,
46,2.96031,12.387,0.0724886,,
47,2.91642,12.387,0.0675779,,
48,3.21061,12.4618,0.0704601,,
49,3.73473,12.4618,0.0674149,,
50,5.12338,12.5745,0.0654641,,
51,4.72314,12.5745,0.0639553,,
52,5.58517,12.6536,0.0641864,,
53,6.30328,12.6536,0.0637725,,
54,5.76125,12.7705,0.0619022,,
55,6.73831,12.7742,0.065394,,
56,6.42822,13.1237,0.0636254,,
57,6.9468,13.1237,0.0654869,,
58,7.74305,13.1237,0.0622982,,
59,8.46868,13.1237,0.0626652,,
60,8.53323,13.195,0.0622996,,
61,9.8095,13.195,0.0610333,,
62,9.23041,13.3629,0.062487,,
63,9.23932,13.3629,0.0603727,,
64,9.05454,13.4031,0.0600677,,
65,8.88801,13.4866,0.0602022,,
66,9.39262,13.4866,0.0612413,,
67,9.83962,13.5234,0.0623072,,
68,9.61984,13.6844,0.0608973,,
69,9.65315,13.6844,0.0602298,,
70,10.1625,13.6844,0.0608655,,
71,9.58126,13.6844,0.0600553,,
72,9.87231,13.82,0.0600394,,
73,9.68057,13.82,0.058469,,
74,9.81723,13.8646,0.0636497,,
75,9.97374,13.8827,0.0615397,,
76,9.84987,13.91,0.0617792,,
77,9.97386,13.9446,0.0581182,,
78,10.4184,14.0168,0.0611448,,
79,9.9714,14.0168,0.0601419,,
80,10.3752,14.143,0.0582547,,
81,9.7038,14.143,0.0570766,,
82,9.77137,14.143,0.0589719,,
83,10.0001,14.143,0.062551,,
84,9.76746,14.1957,0.0593217,,
85,10.3347,14.216,0.0593074,,
86,10.0537,14.216,0.0576595,,
87,10.3431,14.216,0.0585105,,
88,10.0475,14.216,0.0569871,,
89,10.0071,14.247,0.0590141,,
90,10.4258,14.247,0.0582398,,
91,10.1227,14.2759,0.0621077,,
92,10.5463,14.3626,0.0600919,,
93,9.99314,14.3626,0.0603491,,
94,10.285,14.3626,0.0577814,,
95,9.8599,14.4674,0.0578545,,
96,9.61563,14.4674,0.0576862,,
97,9.65119,14.4949,0.0578867,,
98,9.02155,14.5054,0.0573758,,
99,9.25536,14.5092,0.0609183,,
100,8.35697,14.5092,0.0599265,,
101,8.95667,14.5184,0.05784,,
102,9.54231,14.5477,0.058053,,
103,8.92149,14.5477,0.0608539,,
104,8.01616,14.5477,0.0557264,,
105,7.76234,14.5489,0.0577832,,
106,7.59235,14.5489,0.0556421,,
107,8.20825,14.6051,0.0619561,,
108,8.15134,14.6051,0.0580326,,
109,8.65696,14.6051,0.0584302,,
110,8.46079,14.6051,0.0607291,,
111,8.52137,14.6051,0.0597743,,
112,8.24747,14.6051,0.0590243,,
113,8.50666,14.6235,0.0605128,,
114,8.10213,14.6235,0.0597703,,
115,8.87056,14.6235,0.0568904,,
116,9.40449,14.6699,0.0576681,,
117,8.47606,14.6699,0.0548984,,
118,8.68671,14.6699,0.0615722,,
119,8.83081,14.6911,0.0614142,,
120,9.48627,14.7089,0.058835,,
121,8.78408,14.7089,0.0570323,,
122,7.83176,14.7536,0.0617756,,
123,6.99313,14.7536,0.0599529,,
124,8.35724,14.7536,0.0540706,,
125,8.37909,14.7536,0.0599126,,
126,7.32191,14.7799,0.0606245,,
127,8.40212,14.7799,0.0580367,,
128,7.18788,14.7799,0.0607063,,
129,7.66225,14.8149,0.0605966,,
130,8.65194,14.8149,0.0580961,,
131,7.32109,14.8149,0.0615492,,
132,8.36177,14.8149,0.0587673,,
133,8.64687,14.8541,0.0566679,,
134,8.64066,14.8541,0.0585967,,
135,8.45302,14.8541,0.0603702,,
136,8.22479,14.8541,0.0599167,,
137,8.30322,14.8696,0.0589639,,
138,7.50935,14.8696,0.0601084,,
139,8.34985,14.8696,0.0597213,,
140,8.16961,14.8696,0.0602057,,
141,8.81632,14.8696,0.0577089,,
142,7.5736,14.877,0.0609033,,
143,8.40194,14.88,0.0571044,,
144,8.05505,14.8812,0.0571584,,
145,7.39321,14.8812,0.0608377,,
146,8.00663,14.8812,0.0574467,,
147,8.93502,14.8812,0.0603435,,
148,8.35247,14.9028,0.0603169,,
149,8.5872,14.9416,0.0658295,,
150,8.41778,14.9416,0.0588934,,
151,7.39265,14.9416,0.0595768,,
152,8.15636,14.9416,0.0608573,,
153,7.34421,14.9468,0.0573316,,
154,6.4813,14.9984,0.0616525,,
155,8.17942,14.9984,0.0570662,,
156,6.75032,14.9984,0.0585738,,
157,7.33398,14.9984,0.06173,,
158,6.70677,14.9984,0.0575313,,
159,6.8805,15.0324,0.0549805,,
160,6.87757,15.0445,0.0610828,,
161,7.29773,15.0445,0.0555193,,
162,6.14256,15.0445,0.0608751,,
163,7.36016,15.0445,0.0587165,,
164,6.38096,15.0445,0.062954,,
165,6.40575,15.0445,0.0637823,,
166,6.17445,15.0831,0.0589944,,
167,6.48181,15.0831,0.0585333,,
168,7.11703,15.0831,0.0582813,,
169,6.5615,15.0831,0.0603885,,
170,6.63042,15.0831,0.0620489,,
171,5.86592,15.0831,0.0577872,,
172,7.92932,15.0831,0.0623648,,
173,6.98991,15.0831,0.0620231,,
174,6.48444,15.0831,0.0601743,,
175,5.87228,15.0831,0.0614055,,
176,6.36791,15.0831,0.0561478,,
177,5.80652,15.0831,0.0581461,,
178,6.20791,15.0831,0.0577638,,
179,6.58324,15.0831,0.0639479,,
180,6.42848,15.0831,0.0592813,,
181,6.51004,15.0831,0.0615198,,
182,6.47259,15.0831,0.0596116,,
183,6.50872,15.1006,0.0584355,,
184,6.27988,15.1006,0.0608047,,
185,5.89632,15.1006,0.059172,,
186,6.03166,15.1006,0.0610282,,
187,7.35075,15.1006,0.063215,,
188,6.23859,15.1006,0.0577655,,
189,6.79218,15.1006,0.062619,,
190,6.60872,15.1006,0.0599909,,
191,6.59653,15.1166,0.0598197,,
192,6.47468,15.1166,0.0600659,,
193,7.02884,15.1166,0.0603865,,
194,6.31364,15.1166,0.0583256,,
195,6.00919,15.1224,0.0605381,,
196,6.58373,15.1598,0.0583746,,
197,6.56632,15.1598,0.0616384,,
198,6.68904,15.1598,0.0632392,,
199,6.26396,15.1598,0.0600674,,
200,6.07273,15.1598,0.0642253,,
